timestamp, input_file_or_table, output_file_or_table, action_description, performed_by
2026-04-07T17:59:53.744330,SilverLayerData/2019/header2019.csv,SilverLayerData/2019/header2019.csv,Dropped columns secondary_notify_party_9 and secondary_notify_party_10,Denny Ye
2026-04-07T18:01:55.066294,SilverLayerData/2020/header2020.csv,SilverLayerData/2020/header2020.csv,Dropped columns secondary_notify_party_9 and secondary_notify_party_10,Denny Ye
2026-04-07T18:02:36.500200,SilverLayerData/2019/consignee2019.csv,SilverLayerData/2019/consignee2019.csv,"Dropped columns consignee_address_4, city, state_province, zip_code, country_code, contact_name, comm_number_qualifier, comm_number",Denny Ye
2026-04-07T18:03:18.661885,SilverLayerData/2020/consignee2020.csv,SilverLayerData/2020/consignee2020.csv,"Dropped columns consignee_address_4, city, state_province, zip_code, country_code, contact_name, comm_number_qualifier, comm_number",Denny Ye
2026-04-07T18:04:06.179687,SilverLayerData/2019/shipper2019.csv,SilverLayerData/2019/shipper2019.csv,"Dropped columns shipper_party_address_4, city, state_province, zip_code, country_code, contact_name, comm_number_qualifier, comm_number",Denny Ye
2026-04-07T18:04:30.093378,SilverLayerData/2020/shipper2020.csv,SilverLayerData/2020/shipper2020.csv,"Dropped columns shipper_party_address_4, city, state_province, zip_code, country_code, contact_name, comm_number_qualifier, comm_number",Denny Ye
2026-04-07T18:31:09.104292+00:00,SilverLayerData/2019/header2019.csv,SilverLayerData/2019/header2019.csv,Dropped columns secondary_notify_party_9 and secondary_notify_party_10,Denny Ye
2026-04-07T18:33:02.208618+00:00,SilverLayerData/2020/header2020.csv,SilverLayerData/2020/header2020.csv,Dropped columns secondary_notify_party_9 and secondary_notify_party_10,Denny Ye
2026-04-07T18:33:57.536965+00:00,SilverLayerData/2019/consignee2019.csv,SilverLayerData/2019/consignee2019.csv,"Dropped columns consignee_address_4, city, state_province, zip_code, country_code, contact_name, comm_number_qualifier, comm_number",Denny Ye
2026-04-07T18:34:23.053416+00:00,SilverLayerData/2020/consignee2020.csv,SilverLayerData/2020/consignee2020.csv,"Dropped columns consignee_address_4, city, state_province, zip_code, country_code, contact_name, comm_number_qualifier, comm_number",Denny Ye
2026-04-07T18:34:54.143593+00:00,SilverLayerData/2019/shipper2019.csv,SilverLayerData/2019/shipper2019.csv,"Dropped columns shipper_party_address_4, city, state_province, zip_code, country_code, contact_name, comm_number_qualifier, comm_number",Denny Ye
2026-04-07T18:35:24.535633+00:00,SilverLayerData/2020/shipper2020.csv,SilverLayerData/2020/shipper2020.csv,"Dropped columns shipper_party_address_4, city, state_province, zip_code, country_code, contact_name, comm_number_qualifier, comm_number",Denny Ye
2026-04-07T18:41:45.647682+00:00,SilverLayerData/2019/header2019.csv,SilverLayerData/2019/header2019.csv,Converted weights to kg and dropped weight_unit column,Denny Ye
2026-04-07T18:45:29.225866+00:00,SilverLayerData/2020/header2020.csv,SilverLayerData/2020/header2020.csv,Converted weights to kg and dropped weight_unit column,Denny Ye
2026-04-07T20:15:29.113183+00:00,SilverLayerData/2019/header2019.csv,SilverLayerData/2019/header2019.csv,"Replaced mode_of_transportation values: Vessel, containerized to C and Vessel, non-containerized to N",Denny Ye
2026-04-07T20:17:21.062465+00:00,SilverLayerData/2020/header2020.csv,SilverLayerData/2020/header2020.csv,"Replaced mode_of_transportation values: Vessel, containerized to C and Vessel, non-containerized to N",Denny Ye
